image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,3,0.895973,car,car,True
drive_022,2,1,0.740754,car,car,True
drive_022,3,4,0.79168,van,car,False
drive_022,4,5,0.821787,truck,bus,False
drive_022,5,2,0.907518,bus,van,False
drive_033,1,3,0.711748,car,car,True
drive_033,2,7,0.736785,car,car,True
drive_033,4,9,0.8156,car,car,True
drive_033,6,5,0.68151,car,car,True
drive_033,7,4,0.763184,car,car,True
drive_033,11,6,0.732879,car,car,True
drive_033,13,10,0.859786,car,car,True
drive_033,16,8,0.907611,car,car,True
drive_033,17,12,0.907959,bus,van,False
drive_033,18,1,0.928245,bus,van,False
drive_033,19,2,0.804188,truck,bus,False
drive_033,20,11,0.858513,car,car,True
drive_038,1,6,0.832839,car,car,True
drive_038,2,7,0.855711,car,car,True
drive_038,3,8,0.839675,car,car,True
drive_038,4,5,0.847475,truck,bus,False
drive_038,5,2,0.944584,car,car,True
drive_038,6,3,0.791772,car,car,True
drive_038,7,11,0.803329,car,car,True
drive_038,8,9,0.882655,truck,bus,False
drive_038,9,15,0.840901,van,truck,False
drive_038,10,14,0.826569,car,car,True
drive_038,19,13,0.76582,car,car,True
drive_008,1,6,0.821482,car,car,True
drive_008,2,4,0.782078,car,car,True
drive_008,3,11,0.84615,car,car,True
drive_008,4,12,0.824763,van,truck,False
drive_008,5,3,0.905965,van,truck,False
drive_008,6,5,0.745632,van,truck,False
drive_008,7,2,0.848547,car,car,True
drive_008,9,16,0.872075,car,car,True
drive_008,10,9,0.953972,bus,van,False
drive_008,11,1,0.848324,truck,bus,False
drive_008,13,15,0.076515,car,car,True
drive_008,15,14,0.75937,car,car,True
drive_008,17,13,0.574166,car,car,True
drive_008,19,7,0.686212,car,car,True
